Name,Time,Salon Name,CID,Phone,Owner,Note,Status,Date
Phượng Hồ,12:56:54.209000,DL NAIL SPA,06463,6786776047,Mr Danny,"KH nhờ soạn sms theo hình
> nhờ chị D soạn lại giúp",Done,2024-12-09
Tuyết Anh,13:01:02.745000,STAR NAILS,11191,2673049339,Mr ENG,He hỏi statement. Nhờ he call ISO để được support thêm. ,Done,2024-12-09
Hương Giang,13:02:37.178000,ATHENS NAILS BP,11141,6788631797,Ms,"KH báo main app mở ko được, đã check lại ",Done,2024-12-09
Tuấn Võ,13:05:31.317000,Beleza Hair Studio,08975,9366891638,Ms.Eng,"12/07 T#2503-010-102 (VS 4861 $51.10) AC 05619D thiếu $15 service cho Anh
=> Gọi c.c số thẻ charge lại 2503-010-163 (VS 4861, $15.33) ngày 12/09",Done,2024-12-09
Phương Anh,13:03:10.169000,KIM'S NAIL & SPA,11413,4028409392,Ms Tina,HD tiệm nhập bonus cho GC,Done,2024-12-09
Anh Thư,13:03:41.477000,CHERIE NAIL SPA,11690,7036088152,Mr,"He nói là tạo nhầm 1 cái ticket bằng cash, đã báo sẽ delete ticket đó để he tạo ticket mới thì he nói he tự handle dc",Done,2024-12-09
Tuyết Anh,13:08:47.957000,PEARL NAILS,10504,6825546089,Mr,Hd he add bonus khi sale GC,Done,2024-12-09
Đạt Trương,13:09:34.086000,FABULOUS NAILS,11633,9188130863,Mr,He mở app không show tên thợ => hd he clear app vào lại đã work,Done,2024-12-09
Sanh Lưu,13:09:34.086000," HAPPY NAILS, WAXING & EYELASHES",09924,4075793393,Ms Lily,"App không mở được, đã delete và install lại",Done,2024-12-09
Sanh Lưu,13:13:25.319000,LAVENDER NAIL BAR 2,10816,2144841222,Ms,"She bảo máy tính bị hack, nhưng she sửa được rồi, xong she bảo là do bên mình vào, đã giải thích nhưng she không chịu hiểu và vẫn khăng khăng mình vào máy she",Done,2024-12-09
Chiến Phạm,13:15:30.109000,Deluxe Nails & Spa,TX_11592,8326077277,Ms,"#4527 swap thợ Bandon sang cho thợ Hannah và xóa ticket cash #4528
=> She nhờ check đã swap chưa, báo She đã done",Done,2024-12-09
Hương Giang,13:16:55.447000,Zen Nail Spa,07524,8593518918,Ms Trang,KH baáo APPT tự cancel cust Jan 678-602-8252 có SMS cancel & cust book lại lúc ngày khác> báo KH có thể ở tiệm taho tác nhầm vì tiệm ko setup cust tự cancel ,Done,2024-12-09
Phương Anh,13:18:39.360000,ALLURE NAILS SPA,11715,6616345399,Ms,"Cung cấp thông tin thẻ để lấy thêm $10 tip của ticket 2501-018-901 ($113, VS 1181) ngày 12/03/2025 nhưng owner báo không có ở tiệm, hẹn lát nữa đến tiệm sẽ gọi lại sau",Done,2024-12-09
Tiến Dương,13:22:30.667000,VALENTINO NAIL BAR,07439 ,"9803990258
7045101280",Ms ,"Kh cần refund $65 của ticket 2501-105-5310 (VS 5228, $130.75), 12/4
=> Dạ em cung cấp số thẻ và hd RF $65. Dạ em doen tiệm ạ ",Done,2024-12-09
Đạt Trương,13:24:29.540000,ENCORE NAIL BAR,09141,3055180843,Mr,Gửi v code thợ KAE,Done,2024-12-09
Tuyết Anh,13:28:08.743000,NAILOLOGY LOUNGE,09580,3609319358,Ms.,"She báo nãy she lỡ tay bấm, không biết có bị bấm nhầm vào setlement máy hôm nay không. Check thấy tiệm set auto setlement lúc 10:30. Còn hôm nay vẫn chưa setlement. She ok. ",Done,2024-12-09
Liên Chi,13:28:38.580000,AMAZING NAILS SPA CH	,SC_11569,8038096789,Ms,"12/10
#2592-001-012 VS-5985,$45 
HD void #",Done,2024-12-09
Đạt Trương,13:31:29.456000,QUEEN NAILS BAR & SPA 5129,IN_05544,8327783999,Ms,gọi khách nhiều lần không bắt phone ,No answer,2024-12-09
Liên Chi,13:31:58.241000,ORGANIC NAILS and SPA,11432,3365093535,Ms,"ORGANIC NAILS and SPA        FL_11432 3365093535 Ms 
Tiệm muốn refill $200-5000 sms 

Số thẻ: 4741 **** ****  0420 
Exp: 12/27   -> đã báo tiệm refill done ",Done,2024-12-09
Chiến Phạm,13:33:52.333000,VILLAGE NAIL BAR,11422,4045130091,Ms,HD add/edit Staff,Done,2024-12-09
Đạt Trương,13:33:22.890000,ORGANIC NAIL,10673,7206295700,Ms,"Tiệm muốn Refill gói $100 - 5,000 SMS
Số thẻ: 4266-xxxx-xxxx-4029
Exp: 10/28
=> Nhờ chị Dung báo billing refill sms giúp tiệm ạ",Support,2024-12-09
Phượng Hồ,13:34:27.239000,DL NAIL SPA,06463,6786776047,Mr Danny,"Gift Card Event! 
Buy $50->$55, $100->$110, $150->$165, $200->$220
Ends 12/31
DL NAIL SPA 
@5690 Cumming Hwy NE, Sugar Hill
7708318841
> Đợi KH cf. KH đổi nội dung.
===========================================================
DL NAIL SPA Holiday
Get a free gift with any serv & Buy GiftCard over $40 get 10% more
12/15 to 31/2025
5690 Cumming Hwy NE
7708318841
> KH ok nội dung nhờ chị D note thứ 6 12/12 12PM CST (1PM bên khách) send all cust giúp",Support,2024-12-09
Liên Chi,13:34:02.784000,"PRO NAILS SALON 
",IL_11822      ,312-536-3176,Mr,"TRAINING
1st MC
PRO NAILS SALON 
Client ID: 11822 
708-320-2839/312-536-3176
Tiệm muốn
+ set  cái loyal customer, 
+ tắt auto print receipt khi vừa charge xong
+ chỉnh cho tiền tip thợ hưởng 80%, tiệm lấy 20%
+ appoinment
--------
He báo bận, khoảng 1 - 2 tiếng nữa mới rảnh. 
Em follow call lai tiệm sau a.
-------
E800
- HD pmt
- HD check in 
- HD xem report (ticket, salon revenue,sms, customer)
- HD booking appt 
- HD bán GC, check history GC 
- HD in dayend, batch close
Hỗ trợ tiệm set up
- Set up tiền tip cho thợ Fabo, Tyra (Tip reduc: 20%, Diff: 100%)
- HD tiệm set up lương thợ
- Tắt auto print của merchart, GC
- Set reward points: 2 points cash
                     1 points card, check, other
      Redeem: 100 point - $1 

Em đã nhờ tiệm test $1.1 và settlement. Nhờ chị check trans giúp em ạ. ",Done,2024-12-09
Phượng Hồ,13:43:06.500000,ME NAILS & MORE,11565,2408285997/ 240-929-7785 ,Ms Mimi,"Ticket 2503-002-870 ($76.87, credit 9753) ngày 12/7/2025 ticket không có thông tin thẻ -> Cần confirm tiệm.
> KH đang bận hẹn rãnh gọi lại sau ",Done,2024-12-09
Sanh Lưu,13:43:29.258000,NAIL TURBO,10332,9197983545,Mr,HD lấy thêm tiền ser bằng adjust tip và chuyển tip thành ser,Done,2024-12-09
Tuấn Võ,13:47:35.799000,AE LINH bluebird,,2022401225,Ms,AE muốn gặp chị Dung,Done,2024-12-09
Phương Anh,13:55:09.646000,PROFESSOR NAILS & SPA,07801,7252528899,Ms,HD tiệm bán 2 GC cùng 1 lúc,Done,2024-12-09
Anh Thư,13:49:20.532000,NEU NAILS & SPA,11440,8043009406,Mr Vinh,app bị frozen đã HD clear app vào lại work,Done,2024-12-09
Tuyết Anh,13:50:55.227000,JUJI NAIL LOUNGE,10019,4782734152,Mr,Gửi vericode thợ Tommy - 643205,Done,2024-12-09
Chiến Phạm,13:52:17.820000,GOLDEN'S NAIL & SPA,10639,7179516363,Ms,"Tiệm bị mất internet không charge thẻ được, HD restart lại rounter đã work",Done,2024-12-09
Đạt Trương,13:53:23.054000,UQ NAILS,07101,2522027683,Ms,HD she GC sale khi pmt cùng ser,Done,2024-12-09
Tiến Dương,13:56:15.867000,NAILOLOGY LOUNGE,09580,3609319358,Ms.,swp tech ticket 2501-015-758 Total $106.80 => Vintcent qua cho Wendy,Done,2024-12-09
Tiến Dương,14:00:39.531000,TIP TO TOES NAILS,TX_09892,4093323285,Ms,Dạ khách bị chargeback và tiệm thuộc TMD Spoton. Nhờ anh Sang gọi và hỗ trợ giúp tiệm ạ,Support,2024-12-09
Tuấn Võ,14:11:41.127000,ECLAT NAILS & SPA,08980,8156162366,Ms,"ECLAT NAILS & SPA / Client ID: 08980 / 815-616-2366Team gọi lại hướng dẫn he refund nha, he đang đợi thank you
Giải thích refund trên máy cho khách",Done,2024-12-09
Hương Giang,14:11:44.495000,LUXE NAIL SPA,10591,4138859044,Mr Quốc ,"SMS 300 - 17,500 SMS
4246-3153-****-8315 Exp 04/28
> nhờ chị Dung chuyển tt giúp KH ",Support,2024-12-09
Đạt Trương,14:14:08.602000,PEARL NAIL SPA,05233,9107791215,Ms Hồng,"12/07 #2501-009-679 $371 VS 6736, AC 102160 - Miss serv $63
=> Gọi c.c số thẻ",Done,2024-12-09
Tuyết Anh,14:15:11.340000,AE LINH bluebird,,2022401225,Ms,"She hỏi case LUXE NAIL LOUNGE        11827 đã setup xong chưa. Báo she owner báo đã lái xe ra ngoài, hiện không có thẻ ở tiệm để test. Có gì he sẽ call lại sau. ",Done,2024-12-09
Tuấn Võ,14:20:05.302000,MILANO NAIL SPA WEST U,08631,8327544650,Ms. Sally (Eng),"KH báo bị missing 3 bill ngày 12/08/2025
$80 Mika $52, Bella $28/ $51 Annie1/ $65 Annie1
-> nhờ chị Dung hỗ trợ xin batch report ạ",Support,2024-12-09
Chiến Phạm,14:23:31.754000,CREATIVE NAILS,09851,5033627839,Mr Biểu,HD adjust tip,Done,2024-12-09
Liên Chi,14:24:34.037000,COSMO NAIL LOUNGE,09393,2144040118,Ms,"COSMO NAIL LOUNGE	09393	2144040118	Ms 

MSR ID: 2022-633 
Balance: -$75
Tiệm confirm chỉnh balance GC thành $0 
Nhờ chị @⁨Dung Nguyen⁩ hỗ trợ giúp tiệm ạ",Support,2024-12-09
Sanh Lưu,14:32:38.226000,POP LASH & NAILS,09539,7029456433,Ms Hoa Nguyen,"Gọi lên hang up, gọi lại vào voice mail",Done,2024-12-09
Đạt Trương,14:35:55.180000,MARION NAILS,IN_09868,7655733020,Ms Chau,#254 ngày 12/06 she cần refund lại $125 tip dư => Chuyển tip dư qua GC số 123456 để HD she làm refund cho khách,,2024-12-09
Phượng Hồ,14:35:55.180000,COLOR ME NAILS SPA,07465,7144713144,Mr. Phan,gửi code LYN,Done,2024-12-09
Hương Giang,14:37:35.951000,LUXE NAIL SPA,10591,4138859044,Mr Quốc ,"LUXE NAIL SPA Holiday!
Enjoy any service & receive a FREE massage body lotion-while supplies last
@614 American Way, Terrell
9722107184
> gửi KH cf",Support,2024-12-09
Tiến Dương,14:49:42.269000,INFINITY NAIL SPA,06252,FB Mi Mi ,Ms,HD đăng nhap A920 và tắt serv amount ngoài main screen,Done,2024-12-09
Phương Anh,14:50:26.452000,NAILS OF AMERICA,05212,8328344160,Ms,HD tiệm tìm lại ticket bị chargeback,Done,2024-12-09
Anh Thư,14:50:48.943000,NAILOLOGY LOUNGE,09580,3609319358,Ms.,"#763 lấy $5 tip bỏ lên serv cho Daisy, $10.40 chia even",Done,2024-12-09
Tuấn Võ,14:52:28.637000,INFINITY NAIL SPA	,06252,FB Mi Mi,Ms,KH đã tự làm được,Done,2024-12-09
Sanh Lưu,14:55:20.840000,FOUR SEASONS NAILS,08580,3149543079,Ms. Hang,"#2507-019-301 ngày 12/07/2025 Total $50 VS-6115, TransID: 27, AppCode: 116605, bị miss $20 Tip, nhờ chị Dung request ISO charge lại giúp tiệm ạ ",Support,2024-12-09
Đạt Trương,14:58:21.098000,HAPPY NAILS,09890,8436373456,Mr Thắng,"Enjoy up to 25% FREE bonus value when you purchase a gift card at Happy Nails
=> Khách nhờ soạn lại sms promo nội dung và như hình. Nhờ chị Dung soạn lại giúp he ạ",Done,2024-12-09
Chiến Phạm,15:02:49.464000,IMAGES NAILS COMPLETE NAILS CARE FOR LADIES & GENT,11431,2563072829,Mr,"He charge tiền quả transit, nhờ chekc đã approve chưa, check thấy báo sussec, HE muốn make sure C.c số Spoton nhwof HE liên hệ",Done,2024-12-09
Hương Giang,15:05:34.335000,NAILOLOGY LOUNGE,10614,3609319358,Ms.,HD re-print ticket,Done,2024-12-09
Tuấn Võ,15:07:27.928000,DESTINY NAIL SPA	,09781,2819619610,Ms,"KH nhận được máy từ ISO khác, thì khách hỏi giờ muốn cancel thì làm sao -> nhờ khách gọi lại cho ISO đó để cancel.
KH hỏi LLDTEK Có work với ISO Universal không -> báo KH là không, khách okay",Done,2024-12-09
Tuyết Anh,15:08:21.467000,LUSS NAILS BAR,NY_06972,7168800107,Ms,She báo charge tiền nhưng không thấy show ticket. Hd she logout/ in tấc cả các pinpad ở tiệm. Check lại đã show ticket. ,Done,2024-12-09
Liên Chi,15:10:20.401000,PROFESSOR NAILS,07801,7022932238,Ms,Cung cấp vericode Amada 668259,Done,2024-12-09
Anh Thư,15:15:05.274000,MILANO NAIL SPA,10102,8329971794,Ms,"She muốn RF cho khách nhưng khách muốn hẹn mai sẽ đến tiệm để RF, nên she hẹn mai sẽ call lại",Done,2024-12-09
Tiến Dương,15:15:21.229000,SIGNATURE NAILS,05166,7205300117,Ms Laura,"She muốn xin revenue từ năm 2022 - 2023, giải thích she là ko xuất dc vì giữ lại revenue của 1 năm gần nhất và nhờ she check mail lại đã gửi .She ok ",Done,2024-12-09
Phượng Hồ,15:25:45.390000,NAIL & LASHES SPA LA TOUR,11704,4696681719,Ms,gửi code LANA,Done,2024-12-09
Anh Thư,15:32:24.909000,MODERN NAILS & LASH,09504        ,3032150646,Ms,#684 edit $100 tip Vivian & Amy,Done,2024-12-09
Liên Chi,15:36:41.511000,NATIONWIDE NAILS AND SPA ,08131,9366891534,,sms,Support,2024-12-09
Tuyết Anh,15:36:59.598000,DREAM NAILS & SPA,09807,7145539070,Ms,"She báo pinpad không charge được tiền. Nhờ she test lại thử, she báo đã worked. ",Done,2024-12-09
Tuyết Anh,15:40:06.765000,L&T NAILS,08837,7065155662,Ms,"Miss call, call lại support she báo internet worked rồi. ",Done,2024-12-09
Anh Thư,15:41:08.015000,WILD NAILS & SPA,09535,(805) 824-4413,Ms,"enable select serv khi khách check-in và auto print label.
Khách báo là màn hình check in của E800 nhỏ quá khách không thấy được thông tin nên KH cần tư vấn device khác better hơn. Nhờ anh Sang hỗ trợ tiệm ạ",Support,2024-12-09
Đạt Trương,15:44:17.705000,MODERN NAILS & SPA,11537,8016346884,Ms Jenny,"Active lại thợ David, confirm owner set code 12345, de-active thợ Amber",Done,2024-12-09
Tuyết Anh,15:44:17.705000,ESSENCE NAIL SPA,06526,5623772060,Ms,"She báo thợ Veronica không book được appt các service Mani-pei, nhờ she confirm lại các service type, và set lại service type cho thợ Veronica",Done,2024-12-09
Chiến Phạm,16:00:25.078000,FANCY NAILS,11727,9363480316,Mr,"HD keyin, HE nhập số thẻ nhưng system báo INVALID, nhờ HE gọi lại Cust check lại số thẻ",Done,2024-12-09
Hương Giang,16:04:22.003000,UME NAILS BAR,CA_11737,5673456778 / 626-653-9145,Ms Huyền,GỬI RC SMS,Done,2024-12-09
Hương Giang,16:12:33.962000,SOLAR NAILS,TX_09544,254-715-2101,Mr Phillip,"SOLAR NAILS & STAR NAILS
XMAS SPECIAL FOR GIFTCARD 20% OFF ONLY.

SPECIAL 15% OFF FOR ALL SERVICES.

Exp 12/31/25
> nhờ chị Dung soạn SMS giúp KH",Done,2024-12-09
Hương Giang,16:13:25.810000,SOLAR NAILS,TX_09544,254-715-2101,Mr Phillip,"SMS 200 - 11,000 SMS
4100-2301-****-4319 Exp 01/29 CVV 169
> nhờ chị Dung chuyển tt giúp KH
> báo KH fill sms",Done,2024-12-09
Tuyết Anh,16:13:56.829000,ARTIST NAILS,09027,5156619629,Ms,"She báo máy không check-in được. Hd tiệm down lại app check-in. Worked. 
She báo phần birthday chỗ checkin đang bị lỗi cust có thể tự sửa birthday. Đang nhờ she test lại thì she báo she bận làm cust chút she call lại. Đã nhắn she qua imess khi nào she xong cust có thể sent hình phần DOB bị lỗi qua để mình nhờ kỹ sư check cho she. ",Done,2024-12-09
Tuấn Võ,16:24:34.253000,MAGIC NAILS,09441,9783430054,Ms.,KH nhờ sử dụng GC MSR ID : 5714-0329 để mua Product sale $30,Done,2024-12-09
Hương Giang,16:24:44.067000,PERFECT NAILS,WA_11450,3604864421,,HD thao tác adjust tip ,Done,2024-12-09
Hương Giang,16:25:03.882000,SOLAR NAILS,TX_09544,254-715-2101,Mr Phillip,"XMAS SPECIAL
-20% OFF gift cards
-15% OFF all services
Ends 12/31/25
SOLAR NAILS & STAR NAILS
@514 North New Rd, Waco TX 
254-741-0304
-----------------
SOLAR NAILS & STAR NAILS
XMAS SPECIAL
-20% OFF Gift Cards
OR
-15% OFF all services
Exp12/31/25
@514 North New Rd, Waco TX 
254-741-0304
> KH edited & confirmed, đã sent ",Done,2024-12-09
Đạt Trương,16:36:39.645000,RED NAILS SALON,11452,6786223782,Ms Kelly,HD she edit và add thêm ser,Done,2024-12-09
Anh Thư,16:37:21.341000,PREMIERE NAILS,LA_11166,3183198879,Ms,"Holiday Special!
10% OFF gift cards+FREE lotion with any service
Exp 12/25
PREMIERE NAILS 
@3113 Hwy 28 E Ste A, Pineville 
3188807550
-> đợi cf
------------
Tiệm muốn refill $50 - 2000sms
Số thẻ: 5480****1884
Exp: 0629
-> Nhờ chị Dung chuyển billing giúp tiệm ạ",Support,2024-12-09
Tiến Dương,16:39:07.014000,T-NAILS & SPA,10722,5405321341,Ms Tina,"Dạ khách cần file statement, cung cấp she số Spoton để dc hỗ trợ",Done,2024-12-09
Phương Anh,16:42:10.811000,CIRCLE J NAIL & SKIN SPA,10749,2407649650,Mr,HD tiệm bán GC,Done,2024-12-09
Chiến Phạm,16:42:58.628000,S.A NAIL SPA,10132,2102414285,Mr,"He nhờ add #094 cho thợ STEVEN $140 ser, $10 Tip, JENNY $35 ser, $5 tip",Done,2024-12-09
Đạt Trương,16:44:46.289000,HAPPY NAILS,09890,8436373456,Mr Thắng,"HAPPY NAILS
Enjoy up to 25% FREE bonus when buy gift cards
$100 get $20, $150 get $30, $200 get $50 & more
@3588 Maybank Hwy
8436373456
=> Khách confirmed sms nội dung trên send all cust (Total 2,883). Nhờ chị Dung gửi ra giúp tiệm ạ",Done,2024-12-09
Phượng Hồ,16:44:46.289000,PREMIERE NAILS,LA_11166,3183198879,Ms,"KH cần sửa lại nội dung sms, nhờ KH reply lại giúp",Done,2024-12-09
Sanh Lưu,16:47:14.872000,COLOR ME NAILS SPA,07465,7144713144,Mr. Phan,"He muón hỏi lại tiệm hiện tại đang run nhưng promotion gì, đã check và giải thích với he, he nói có thể qua năm sẽ có thay đổi, có gì gần đó he sẽ gọi lại",Done,2024-12-09
Tuấn Võ,16:47:30.339000,CLASSY NAILS SPA	,06825,4803408798,Mr,"KH nhờ charge thêm $55 ticket 2502-017-432 (AM 0400, $78) ngày 12/09 -> báo KH là $55 là số tiền lớn, cần có permission của cust nếu không sẽ bị dispute",Done,2024-12-09
Hương Giang,16:49:43.812000,SPOTON Customer Support,,8778144102,Ms Nhi,AE nhờ gọi SALON EXPO         OH_05456 giải thích & setup reward point (checked đã setup),Done,2024-12-09
Tuấn Võ,16:51:08.661000,SALON EXPO,OH_05456,937-292-7175,Mr Eric (ENG),AE nhờ gọi nhưng voicemail,No answer,2024-12-09
Phượng Hồ,16:50:16.256000,D NAIL AND HAIR,TX_10536,FB Kelly Pham,Ms Kelly,"D NAILS & HAIR - Holiday Special
COME and WIN 50% OFF! Beat the 12-second timer challenge. Limited Dec 10-21
2812328887
bit.ly/3Br7iIC
> KH muốn gửi nội dung tự soạn cho all customer, nhờ chị D send giúp",Done,2024-12-09
Tiến Dương,16:51:14.790000,LAMOUR NAILS,07132,6783167574,Mr,"He nói máy in khi in receipt check-in, mỗi lần in 2-3 tờ ko sao, in tới tờ thứ 4 ko cắt giấy dc. Giải thích he do he thao tác nhanh, giấy trong máy in bị trùng nên giấy in ra ko cắt dc. He nói để he call agent check lại vấn đề này ",Done,2024-12-09
Tuyết Anh,16:59:44.297000,3T-NAILS LLC	,10222,9372315578,Mr ENG,"He báo ticket ngày 12/06/2025 #2501-007-103 he đã refund cho cust rồi, nhưng cust chưa nhận được. Báo he ticket show change chứ chưa refund. He báo ok vậy để he đưa cash lại cho cust. ",Done,2024-12-09
Chiến Phạm,17:03:38.387000,Hi-End Nails,07254,4695378280,Mr.,HE nhờ chekc số phoen khách MADELINE,Done,2024-12-09
Hương Giang,17:07:36.063000,UME NAILS BAR,CA_11737,5673456778 / 626-653-9145,Ms Huyền,"Holiday Special! 
20% OFF any service (cash only)
MUST book appt
Ends 12/15/25
UME NAILS BAR
@500 N Azusa Ave West Covina CA
6266539145

> Nhờ chị Dung gửi giúp KH ",Done,2024-12-09
Tuấn Võ,17:11:11.007000,S.A NAIL SPA,10132,2109901450,Ms. Eng,Hỗ trợ khách fix ticket,Done,2024-12-09
Tuyết Anh,17:13:48.076000,BELLA LOUNGE & SPA,10913,2014287428,Ms,"12/09, #2591-009-075 (AMEX 6568, $43.78) Refno 11, Appcode 975009. Add cho thợ Danni $42.50. ",Done,2024-12-09
Hương Giang,17:16:07.265000,DAZZLING NAILS AND SPA,08651,4049214268,Ms Jessica,"KH báo ko check được history check in của cust trong report > cust > checkin history 
(có cust ghi nhận no.of visit 20 lần nhưng chỉ show history checkin ngày hiện tại)
> nhờ chị Dung báo kỹ sư check lại giúp KH ",Support,2024-12-09
Phương Anh,17:26:12.583000,ROYAL RETREAT PEDI SPA,11556,3372559577,Ms,HD tiệm check balance GC 0112,Done,2024-12-09
Tuyết Anh,17:31:02.355000,NOIR & NECTAR,11779,7138085606,Ms,She nhờ Hd note thêm phần No Reply vào các sms sent ra cho cust. Đã Hd she set lại phần Appt notification,Done,2024-12-09
Liên Chi,17:23:36.009000,PRO NAILS SALON,IL_11822      ,312-536-3176,Mr,"Tiệm nhờ chỉnh Cycle - Bi_Monthly thành Cycle-Weekly 
Nhờ chị @⁨Dung Nguyen⁩ hỗ trợ tiệm ạ",Done,2024-12-09
Liên Chi,17:29:57.530000,5 STAR FOREVER NAILS,11661,5122931935,Ms ,"
She đã có tt đăng nhập app owner -> hỗ trợ she đăng nhập vào app. -> done
Add services -> done 
Refill gói $50 - 2000 sms
Số thẻ: 4259 **** **** 2974 
Exp: 0929 

Nhờ chị @⁨Dung Nguyen⁩ gửi billing giúp tiệm ạ.",Done,2024-12-09
Đạt Trương,17:32:56.937000,JENNYS NAIL,GA_11615,7706880732,Ms Thảo,HD lại she settlement,Done,2024-12-09
Phượng Hồ,17:32:56.937000,ESCAPE THE NAIL LOUNGE,MI_08704,2482693145,Ms Thanh,HD cắm sạc A920 bị sụp nguồn,Done,2024-12-09
Anh Thư,17:36:17.627000,ROYAL RETREAT PEDI SPA,11556,(337)255-9577,Ms,HD payment GC,Done,2024-12-09
Hương Giang,17:42:47.349000,DILA NAILS AND LUXURIES,10243,5615639734,Mr. Howard,"KH nhờ gửi acct login info qua mail Howardnguyen.gds@gmail.com
> nhờ chị Dung gửi giúp KH ",Done,2024-12-09
Tuấn Võ,17:43:10.885000,LUXE NAIL LOUNGE,11827,"703-866-8984/
 571-422-9369",Joseph Tran,Gọi HD khách connect A35 (s/n: 2290562338) với PC: charge thử $1/ settlement -> worked,Done,2024-12-09
Phương Anh,17:44:40.662000,NP NAILS & SPA,06729,2193164115,Mr Tiến,"Tiệm báo máy checkin ở tiệm hay bị frozen, đã nhờ đầu ngày tắt app mở lại",Done,2024-12-09
Sanh Lưu,17:44:50.386000,LUXURY NAILS SPA,06129,8506660806,Ms Nhi,"She nhờ check #730 do thấy bị sai tiền, she nhờ chuyển lại tiền change lên thành ser",Done,2024-12-09
Phương Anh,17:52:19.329000,NAIL & LASHES SPA LA TOUR,11704,4696681719,Ms,Tiệm nhờ set lại giờ làm việc của Lily,Done,2024-12-09
Đạt Trương,17:55:52.741000,CITRUS HILLS NAILS,09260,8133409597,Mr,"Ngày 12/09 #2502-019-935 Total $73 (VS-5755, AC: 285024, Trans ID: 20) Miss $15 tip
- Ticket fixed note other pmt
=> Nhờ chị Dung request spoton charge thêm giúp tiệm",Support,2024-12-09
Chiến Phạm,17:56:55.472000,NAILS CITY,10974,6626100539,Ms Lý,HD Swap tech,Done,2024-12-09
Tiến Dương,17:59:44.616000,FRANCE NAILS & SPA,05490,6122081437,Ms,"cf refno 7
Ngày 12/09 #2501-012-933 Total $40 (VS-6601, trans id: 7) và #2501-012-933 Total $80 (VS-1585 - $50 và $30 Other, trans id: 6) cùng 1 khách thanh toán => Nhờ chị Dung fix ticket #2501-012-933 Total $80 (VS-1585 - $50, VS-6601 - $40 trans id: 6) add cho Thợ Ellie $80 serv và $10 tip",Done,2024-12-09
Anh Thư,18:04:54.602000,M NAIL & LASH PLANO,11458,2142352532,Ms,"đang nói she hang up, gọi lại no pick up",Done,2024-12-09
Sanh Lưu,18:06:47.749000,ESSENCE NAILS & SPA,08236,8064073139,Mr Kyle,"Tiệm nhờ hỗ trợ void 1 ticket trên POS nhờ team hỗ trợ giúp. Thanks team
=> Tiệm báo đã tự làm được rồi",Done,2024-12-09
Hương Giang,18:09:41.937000,M NAIL & LASH PLANO,11458,2142352532,Ms,HD in lương thợ,,2024-12-09
Hương Giang,18:13:20.311000,DAZZLING NAILS AND SPA,08651,4049214268,Ms Jessica,"DAZZLING NAILS CLEMSON
Happy Holidays! 
15% OFF all services $35+
20% OFF mani + pedi combo. 
EXP: 12/31/25
*Show text to redeem
APPT: 864-722-9300
> nhờ chị Dung soạn lại giúp KH ",Done,2024-12-09
Tuấn Võ,18:32:05.832000,LUXX NAILS AND,06290,5127491146,Mr,"HD khách keyin ticket 2592-005-380 (VS 4195, $85) ngày 12/09/2025 ( đã báo khách keyin có thể bị dispute)",Done,2024-12-09
Tuyết Anh,18:18:23.880000,LUX NAIL SPA,07000,6186712649,Ms,"She báo wifi tiệm bị lỗi, ko work. She nhờ call FT support. Check thấy wifi bị down, HD she reboot lại wifi. Worked.",Done,2024-12-09
Phương Anh,18:26:54.059000,ANN'S NAILS & BEAUTY,11819,2105198095,Mr. Jay,Tiệm nhờ set lại giờ Auto close cho máy A920 (SN: 1854500264) lúc 11PM. Nhờ chị Dung request giúp em,Support,2024-12-09
Anh Thư,18:24:37.672000,POSH NAIL BAR,11246,4699888953,Ms,set up thợ sebistan trả check cố định $800 per week,Done,2024-12-09
Đạt Trương,18:24:48.671000,Vickie Nails,10147,2059089858,Ms. Thương,"Khách tính tiền tại quầy ghi nhận đúng với thẻ VS-4252 Ref no 7 Total $150
She nói không biết thẻ VS-1649 Ref no 6 của khách nào do mới bấm card đã tự động charge thẻ này, check quanh quầy và trong máy s300 khoont hấy có dư thẻ credit card nào
=> Báo she tạm để nguyên ticket này để nếu khách đó quay lại và show đúng thẻ có đuôi 1649 thì mới làm refund để make sure, she ok",Done,2024-12-09
Liên Chi,18:26:52.480000,5 STAR NAILS AND SPA,06568,5034846550,Ms,App check-in bị lag -> clear app vào lại đã work,,2024-12-09
Hương Giang,18:28:52.408000,DAZZLING NAILS AND SPA,08651,4049214268,Ms Jessica,"DAZZLING NAILS CLEMSON
Happy Holidays!
15% OFF all serv $35+
20% OFF mani+pedi combo
EXP 12/31/25
*Show txt to redeem
APPT: 8647229300
> gửi KH confirmed, nhờ chị Dung note giúp KH mai 9am CT (8am khách) gửi giúp KH cust từ 12/1/24-Now ",Support,2024-12-09
Hương Giang,18:30:23.822000,4T NAILS & SPA,06230,2818270551,Mr An,KH nhờ chuyển GC-1000298 QUA GC-100298,Done,2024-12-09
Phượng Hồ,18:30:43.741000,XCLUSIVE NAIL BAR,        11681               ,4704550878,Mr,HD gửi lại code thợ,Done,2024-12-09
Chiến Phạm,18:36:50.014000,ESSENCE NAILS,NY_11599,5857101101,Mr,"Swap A920 thành pinpad, connect với Tablet",Done,2024-12-09
